"lid","country","region","provstate","city"
"5280","El Salvador","Central America & Caribbean","San Miguel","Montecillo"
"5281","El Salvador","Central America & Caribbean","San Miguel","Nuevo Eden de San Juan"
"5282","El Salvador","Central America & Caribbean","San Miguel","San Gerardo"
"5283","El Salvador","Central America & Caribbean","San Miguel","San Jorge"
"5284","El Salvador","Central America & Caribbean","San Miguel","San Luis de la Reina"
"5285","El Salvador","Central America & Caribbean","San Miguel","San Miguel"
"5286","El Salvador","Central America & Caribbean","San Miguel","San Rafael Oriente"
"5287","El Salvador","Central America & Caribbean","San Miguel","Sesori"
"5288","El Salvador","Central America & Caribbean","San Miguel","Tierra Blanca"
"5289","El Salvador","Central America & Caribbean","San Miguel","Unknown"
"5290","El Salvador","Central America & Caribbean","San Salvador","Aguilares"
"5291","El Salvador","Central America & Caribbean","San Salvador","Apopa"
"5292","El Salvador","Central America & Caribbean","San Salvador","Ayutuxtepeque"
"5293","El Salvador","Central America & Caribbean","San Salvador","Buena Vista"
"5294","El Salvador","Central America & Caribbean","San Salvador","Colonia san Nicolas"
"5295","El Salvador","Central America & Caribbean","San Salvador","Cucumacayan"
"5296","El Salvador","Central America & Caribbean","San Salvador","Cuscatancingo"
"5297","El Salvador","Central America & Caribbean","San Salvador","Delgado"
"5298","El Salvador","Central America & Caribbean","San Salvador","El Escalon"
"5299","El Salvador","Central America & Caribbean","San Salvador","El Paisnal"
"5300","El Salvador","Central America & Caribbean","San Salvador","El Roblar"
"5301","El Salvador","Central America & Caribbean","San Salvador","Guazapa"
"5302","El Salvador","Central America & Caribbean","San Salvador","Ilopango"
"5303","El Salvador","Central America & Caribbean","San Salvador","La Mascota"
"5304","El Salvador","Central America & Caribbean","San Salvador","Loma Linda"
"5305","El Salvador","Central America & Caribbean","San Salvador","Matazano"
"5306","El Salvador","Central America & Caribbean","San Salvador","Mejicanos"
"5307","El Salvador","Central America & Caribbean","San Salvador","Mexicanos"
"5308","El Salvador","Central America & Caribbean","San Salvador","Milingo"
"5309","El Salvador","Central America & Caribbean","San Salvador","Miramonte"
"5310","El Salvador","Central America & Caribbean","San Salvador","Montserrat"
"5311","El Salvador","Central America & Caribbean","San Salvador","Nejapa"
"5312","El Salvador","Central America & Caribbean","San Salvador","Northern trunk highway"
"5313","El Salvador","Central America & Caribbean","San Salvador","Palo Grande"
"5314","El Salvador","Central America & Caribbean","San Salvador","Panchimalco"
"5315","El Salvador","Central America & Caribbean","San Salvador","San Antonio Abad"
"5316","El Salvador","Central America & Caribbean","San Salvador","San Jacinto"
"5317","El Salvador","Central America & Caribbean","San Salvador","San Luis Mariona"
"5318","El Salvador","Central America & Caribbean","San Salvador","San Marcos"
"5319","El Salvador","Central America & Caribbean","San Salvador","San Martin"
"5320","El Salvador","Central America & Caribbean","San Salvador","San Roque"
"5321","El Salvador","Central America & Caribbean","San Salvador","San Salvador"
"5322","El Salvador","Central America & Caribbean","San Salvador","Santa Cristina"
"5323","El Salvador","Central America & Caribbean","San Salvador","Soyapango"
"5324","El Salvador","Central America & Caribbean","San Salvador","Tonacatepeque"
"5325","El Salvador","Central America & Caribbean","San Salvador","Unknown"
"5326","El Salvador","Central America & Caribbean","San Salvador","Zacamil"
"5327","El Salvador","Central America & Caribbean","San Vicente","Amatitan Abajo"
"5328","El Salvador","Central America & Caribbean","San Vicente","Amatitan Arriba"
"5329","El Salvador","Central America & Caribbean","San Vicente","Apastepeque"
"5330","El Salvador","Central America & Caribbean","San Vicente","Cerros de San Pedro"
"5331","El Salvador","Central America & Caribbean","San Vicente","Dos Quebradas"
"5332","El Salvador","Central America & Caribbean","San Vicente","El Junquillal"
"5333","El Salvador","Central America & Caribbean","San Vicente","El Playon"
"5334","El Salvador","Central America & Caribbean","San Vicente","Guadalupe"
"5335","El Salvador","Central America & Caribbean","San Vicente","Hacienda Guajoyo"
"5336","El Salvador","Central America & Caribbean","San Vicente","La Esperanza"
"5337","El Salvador","Central America & Caribbean","San Vicente","Los Mazariego"
"5338","El Salvador","Central America & Caribbean","San Vicente","San Antonio"
"5339","El Salvador","Central America & Caribbean","San Vicente","San Bartolo Ichanmico"
"5340","El Salvador","Central America & Caribbean","San Vicente","San Cayetano Istepeque"
"5341","El Salvador","Central America & Caribbean","San Vicente","San Esteban Catarina"
"5342","El Salvador","Central America & Caribbean","San Vicente","San Felipe"
"5343","El Salvador","Central America & Caribbean","San Vicente","San Fernando"
"5344","El Salvador","Central America & Caribbean","San Vicente","San Ildefonso"
"5345","El Salvador","Central America & Caribbean","San Vicente","San Lorenzo"
"5346","El Salvador","Central America & Caribbean","San Vicente","San Lorenzo Dam"
"5347","El Salvador","Central America & Caribbean","San Vicente","San Nicolas Lempa"
"5348","El Salvador","Central America & Caribbean","San Vicente","San Pedro"
"5349","El Salvador","Central America & Caribbean","San Vicente","San Sebastian"
"5350","El Salvador","Central America & Caribbean","San Vicente","San Vicente"
"5351","El Salvador","Central America & Caribbean","San Vicente","Santa Clara"
"5352","El Salvador","Central America & Caribbean","San Vicente","Santa Cruz Paraiso"
"5353","El Salvador","Central America & Caribbean","San Vicente","Santo Domingo"
"5354","El Salvador","Central America & Caribbean","San Vicente","Tecoluca"
"5355","El Salvador","Central America & Caribbean","San Vicente","Tehuacan"
"5356","El Salvador","Central America & Caribbean","San Vicente","Unknown"
"5357","El Salvador","Central America & Caribbean","San Vicente","Verapaz"
"5358","El Salvador","Central America & Caribbean","Santa Ana","Chalchuapa"
"5359","El Salvador","Central America & Caribbean","Santa Ana","Coatepeque"
"5360","El Salvador","Central America & Caribbean","Santa Ana","El Carrizalillo"
"5361","El Salvador","Central America & Caribbean","Santa Ana","El Congo"
"5362","El Salvador","Central America & Caribbean","Santa Ana","El Faro"
"5363","El Salvador","Central America & Caribbean","Santa Ana","El Nance"
"5364","El Salvador","Central America & Caribbean","Santa Ana","Guarnecia"
"5365","El Salvador","Central America & Caribbean","Santa Ana","La Magdalena"
"5366","El Salvador","Central America & Caribbean","Santa Ana","Las Cruces"
"5367","El Salvador","Central America & Caribbean","Santa Ana","Metapan"
"5368","El Salvador","Central America & Caribbean","Santa Ana","San Sebastian Salitrillo"
"5369","El Salvador","Central America & Caribbean","Santa Ana","Santa Ana"
"5370","El Salvador","Central America & Caribbean","Santa Ana","Texistepeque"
"5371","El Salvador","Central America & Caribbean","Santa Ana","Unknown"
"5372","El Salvador","Central America & Caribbean","Sonsonate","Acajutla"
"5373","El Salvador","Central America & Caribbean","Sonsonate","Armenia"
"5374","El Salvador","Central America & Caribbean","Sonsonate","Caulote"
"5375","El Salvador","Central America & Caribbean","Sonsonate","Copapayo"
"5376","El Salvador","Central America & Caribbean","Sonsonate","Izalco"
"5377","El Salvador","Central America & Caribbean","Sonsonate","Juayua"
"5378","El Salvador","Central America & Caribbean","Sonsonate","Miravalle"
"5379","El Salvador","Central America & Caribbean","Sonsonate","Nahulingo"
"5380","El Salvador","Central America & Caribbean","Sonsonate","RASA Oil Refinery"
"5381","El Salvador","Central America & Caribbean","Sonsonate","San Julian"
"5382","El Salvador","Central America & Caribbean","Sonsonate","Santo Domingo de Guzman"
"5383","El Salvador","Central America & Caribbean","Sonsonate","Sonsonate"
"5384","El Salvador","Central America & Caribbean","Sonsonate","Tres Ceibas"
"5385","El Salvador","Central America & Caribbean","Sonsonate","Unknown"
"5386","El Salvador","Central America & Caribbean","Sonsonate","Zacacoyo"
"5387","El Salvador","Central America & Caribbean","Unknown","Aguas Charcas"
"5388","El Salvador","Central America & Caribbean","Unknown","Ajuste"
"5389","El Salvador","Central America & Caribbean","Unknown","Avelinos Canton"
"5390","El Salvador","Central America & Caribbean","Unknown","Candelero"
"5391","El Salvador","Central America & Caribbean","Unknown","Cerro Pacol"
"5392","El Salvador","Central America & Caribbean","Unknown","Chachaca"
"5393","El Salvador","Central America & Caribbean","Unknown","Coco Verde"
"5394","El Salvador","Central America & Caribbean","Unknown","El Ayer"
"5395","El Salvador","Central America & Caribbean","Unknown","El Candalero"
"5396","El Salvador","Central America & Caribbean","Unknown","El Jardin"
"5397","El Salvador","Central America & Caribbean","Unknown","El Monte"
"5398","El Salvador","Central America & Caribbean","Unknown","El Partido"
"5399","El Salvador","Central America & Caribbean","Unknown","El Seretal"
