"country","region","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Burkina Faso","Sub-Saharan Africa","51","110","2.1569","21","0","136","2.6667","42","0"
"Burundi","Sub-Saharan Africa","255","1729","6.7804","200","0","1436","5.6314","76","0"
"Cambodia","Southeast Asia","149","353","2.3691","50","0","574","3.8523","119","0"
"Cameroon","Sub-Saharan Africa","138","399","2.8913","26","0","692","5.0145","112","0"
"Canada","North America","58","24","0.4138","15","0","72","1.2414","19","0"
"Central African Republic","Sub-Saharan Africa","81","734","9.0617","108","0","776","9.5802","99","0"
"Chad","Sub-Saharan Africa","22","395","17.9545","160","0","1128","51.2727","1001","0"
"Chile","South America","1079","125","0.1158","7","0","423","0.3920","24","0"
"China","East Asia","156","453","2.9038","48","0","999","6.4038","98","0"
"Colombia","South America","3780","6951","1.8389","119","0","6784","1.7947","200","0"
"Comoros","Sub-Saharan Africa","3","1","0.3333","1","0","0","0.0000","0","0"
"Costa Rica","Central America & Caribbean","36","9","0.2500","4","0","31","0.8611","6","0"
"Croatia","Eastern Europe","36","13","0.3611","3","0","37","1.0278","13","0"
"Cuba","Central America & Caribbean","15","1","0.0667","1","0","8","0.5333","3","0"
"Cyprus","Western Europe","75","13","0.1733","3","0","23","0.3067","15","0"
"Czech Republic","Eastern Europe","18","4","0.2222","2","0","8","0.4444","4","0"
"Czechoslovakia","Eastern Europe","3","26","8.6667","26","0","1","0.3333","1","0"
"Democratic Republic of the Congo","Sub-Saharan Africa","233","1617","6.9399","339","0","861","3.6953","127","0"
"Denmark","Western Europe","9","1","0.1111","1","0","6","0.6667","3","0"
"Djibouti","Sub-Saharan Africa","10","33","3.3000","11","0","90","9.0000","26","0"
"Dominica","Central America & Caribbean","2","3","1.5000","3","0","10","5.0000","10","0"
"Dominican Republic","Central America & Caribbean","49","26","0.5306","5","0","92","1.8776","35","0"
"East Germany (GDR)","Eastern Europe","3","1","0.3333","1","0","1","0.3333","1","0"
"East Timor","Southeast Asia","3","2","0.6667","1","0","5","1.6667","5","0"
"Ecuador","South America","108","30","0.2778","4","0","70","0.6481","28","0"
"Egypt","Middle East & North Africa","1091","2267","2.0779","311","0","3348","3.0687","159","0"
"El Salvador","Central America & Caribbean","2403","7826","3.2568","300","0","3191","1.3279","130","0"
"Equatorial Guinea","Sub-Saharan Africa","1","1","1.0000","1","1","3","3.0000","3","3"
"Eritrea","Sub-Saharan Africa","5","8","1.6000","6","0","27","5.4000","19","0"
"Estonia","Eastern Europe","5","1","0.2000","1","0","10","2.0000","10","0"
"Ethiopia","Sub-Saharan Africa","75","959","12.7867","200","0","697","9.2933","300","0"
"Fiji","Australasia & Oceania","8","8","1.0000","7","0","18","2.2500","17","0"
"Finland","Western Europe","12","9","0.7500","9","0","16","1.3333","13","0"
"France","Western Europe","1274","224","0.1758","93","0","1213","0.9521","217","0"
"French Guiana","South America","2","1","0.5000","1","0","12","6.0000","12","0"
"French Polynesia","Australasia & Oceania","1","0","0.0000","0","0","0","0.0000","0","0"
"Gabon","Sub-Saharan Africa","5","6","1.2000","4","0","1","0.2000","1","0"
"Gambia","Sub-Saharan Africa","2","0","0.0000","0","0","2","1.0000","2","0"
"Georgia","Central Asia","123","180","1.4634","30","0","264","2.1463","37","0"
"Germany","Western Europe","246","16","0.0650","4","0","191","0.7764","43","0"
"Ghana","Sub-Saharan Africa","9","7","0.7778","2","0","14","1.5556","6","0"
"Greece","Western Europe","752","182","0.2420","88","0","269","0.3577","55","0"
"Grenada","Central America & Caribbean","1","3","3.0000","3","3","20","20.0000","20","20"
"Guadeloupe","Central America & Caribbean","17","3","0.1765","2","0","43","2.5294","20","0"
"Guatemala","Central America & Caribbean","789","2943","3.7300","70","0","727","0.9214","80","0"
"Guinea","Sub-Saharan Africa","10","59","5.9000","47","0","33","3.3000","29","0"
"Guinea-Bissau","Sub-Saharan Africa","6","15","2.5000","11","0","27","4.5000","12","0"
"Guyana","South America","9","18","2.0000","11","0","6","0.6667","3","0"
"Haiti","Central America & Caribbean","116","254","2.1897","130","0","188","1.6207","50","0"
"Honduras","Central America & Caribbean","153","182","1.1895","28","0","163","1.0654","26","0"
"Hong Kong","East Asia","11","0","0.0000","0","0","46","4.1818","23","0"
"Hungary","Eastern Europe","32","4","0.1250","2","0","11","0.3438","4","0"
"Iceland","Western Europe","1","0","0.0000","0","0","0","0.0000","0","0"
"India","South Asia","4804","8349","1.7379","188","0","16303","3.3936","817","0"
"Indonesia","Southeast Asia","338","731","2.1627","101","0","1791","5.2988","182","0"
"International","Middle East & North Africa","1","1","1.0000","1","1","12","12.0000","12","12"
"Iran","Middle East & North Africa","223","639","2.8655","74","0","1709","7.6637","301","0"
"Iraq","Middle East & North Africa","9906","30157","3.0443","670","0","70839","7.1511","1500","0"
"Ireland","Western Europe","54","3","0.0556","1","0","8","0.1481","2","0"
"Israel","Middle East & North Africa","848","937","1.1050","42","0","5057","5.9634","171","0"
"Italy","Western Europe","547","124","0.2267","30","0","569","1.0402","102","0"
"Ivory Coast","Sub-Saharan Africa","32","113","3.5313","41","0","130","4.0625","64","0"
"Jamaica","Central America & Caribbean","19","19","1.0000","5","0","22","1.1579","16","0"
"Japan","East Asia","107","12","0.1121","2","0","23","0.2150","4","0"
"Jordan","Middle East & North Africa","56","103","1.8393","21","0","182","3.2500","34","0"
"Kazakhstan","Central Asia","13","20","1.5385","8","0","13","1.0000","6","0"
"Kenya","Sub-Saharan Africa","343","1173","3.4198","224","0","5709","16.6443","4000","0"
"Kosovo","Eastern Europe","113","55","0.4867","10","0","279","2.4690","43","0"
"Kuwait","Middle East & North Africa","24","32","1.3333","28","0","242","10.0833","227","0"
"Kyrgyzstan","Central Asia","16","6","0.3750","2","0","14","0.8750","5","0"
"Laos","Southeast Asia","10","7","0.7000","2","0","21","2.1000","10","0"
"Latvia","Eastern Europe","11","2","0.1818","1","0","35","3.1818","34","0"
"Lebanon","Middle East & North Africa","1075","1778","1.6540","98","0","5539","5.1526","300","0"
"Lesotho","Sub-Saharan Africa","9","35","3.8889","20","0","14","1.5556","11","0"
