"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","8","1430","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1549",NULL,"1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1550","23","1","1","1.0000","1","1","0","0.0000","0","0"
"1","8","1550","27","1","0","0.0000","0","0","3","3.0000","3","3"
"1","8","1714","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1714","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1734","21","1","2","2.0000","2","2","1","1.0000","1","1"
"1","8","1975","21","3","3","1.0000","2","0","4","1.3333","4","0"
"1","8","1975","24","1","1","1.0000","1","1","0","0.0000","0","0"
"1","8","2141","17","1","3","3.0000","3","3","0","0.0000","0","0"
"1","8","2149","4","2","0","0.0000","0","0","0","0.0000","0","0"
"1","8","2149","17","3","21","7.0000","17","2","14","4.6667","13","0"
"1","8","2149","21","17","19","1.1176","7","0","20","1.1765","7","0"
"1","8","2149","23","1","6","6.0000","6","6","3","3.0000","3","3"
"1","8","2149","25","1","0","0.0000","0","0","0","0.0000","0","0"
"1","9","76","17","1","6","6.0000","6","6","25","25.0000","25","25"
"1","9","98","4","1","5","5.0000","5","5","8","8.0000","8","8"
"1","9","117","4","2","2","1.0000","1","1","15","7.5000","12","3"
"1","9","226","17","1","59","59.0000","59","59","851","851.0000","851","851"
"1","9","433","18","1","1","1.0000","1","1","0","0.0000","0","0"
"1","9","553","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","9","678","17","1","4","4.0000","4","4","9","9.0000","9","9"
"1","9","877","18","1","4","4.0000","4","4","9","9.0000","9","9"
"1","9","924","21","1","0","0.0000","0","0","4","4.0000","4","4"
"1","9","951","17","1","39","39.0000","39","39","69","69.0000","69","69"
"1","9","1129","28","1","0","0.0000","0","0","0","0.0000","0","0"
"1","9","1158","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","9","1361","21","1","3","3.0000","3","3","0","0.0000","0","0"
"1","9","1375","17","1","9","9.0000","9","9","0","0.0000","0","0"
