"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Zarate Willka Armed Forces of Liberation","3","0","0.0000","0","0","0","0.0000","0","0"
"Zebra killers","13","10","0.7692","1","0","3","0.2308","1","0"
"Zehri Youth Force (ZYF)","1","0","0.0000","0","0","0","0.0000","0","0"
"Zeliangrong United Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Zero Tolerance","5","0","0.0000","0","0","0","0.0000","0","0"
"Zetas","1","0","0.0000","0","0","5","5.0000","5","5"
"Zimbabwe African Nationalist Union (ZANU)","10","6","0.6000","5","0","1","0.1000","1","0"
"Zimbabwe African People's Union","5","59","11.8000","54","0","0","0.0000","0","0"
"Zimbabwe Patriotic Front","4","12","3.0000","7","0","3","0.7500","2","0"
"Zimbabwe People's Army (ZIPA)","2","0","0.0000","0","0","0","0.0000","0","0"
"Zulu Militants","1","21","21.0000","21","21","100","100.0000","100","100"
