"region","country","provstate","city","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Australasia & Oceania","Papua New Guinea","National Capital District","Port Moresby","2","1","0.5000","1","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","North Solomons","Bougainville Island","3","3","1.0000","3","0","5","1.6667","5","0"
"Australasia & Oceania","Papua New Guinea","North Solomons","Jaba River Valley","1","0","0.0000","0","0","1","1.0000","1","1"
"Australasia & Oceania","Papua New Guinea","North Solomons","Unknown","1","0","0.0000","0","0","1","1.0000","1","1"
"Australasia & Oceania","Papua New Guinea","Papua","Unknown","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Southern Highlands","Tari","1","2","2.0000","2","2","6","6.0000","6","6"
"Australasia & Oceania","Papua New Guinea","West Sepik","Amanab","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","West Sepik","Vanimo","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Western Highlands","Minj","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Solomon Islands","Guandacanal","Weather Coast","1","1","1.0000","1","1","0","0.0000","0","0"
"Australasia & Oceania","Solomon Islands","Malaita","Auki","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","Bahamas","Bimini","Anguilla Cays","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Bahamas","New Providence","Nassau","3","1","0.3333","1","0","0","0.0000","0","0"
"Central America & Caribbean","Barbados","Christ Church","Grantly Adams International Airport","1","73","73.0000","73","73","0","0.0000","0","0"
"Central America & Caribbean","Barbados","Saint Joseph","Saint Joseph","1","3","3.0000","3","3","3","3.0000","3","3"
"Central America & Caribbean","Barbados","Saint Michael","Bridgetown","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Belize","Belize","Belize City","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Belize","Cayo","Belmopan","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","Belize","Cayo","Unknown","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Alajuela","Alajuela","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Alajuela","Los Chiles","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Guanacaste","Bagaces","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Limon","Cahuita","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Limon","Limon","3","1","0.3333","1","0","10","3.3333","6","0"
"Central America & Caribbean","Costa Rica","Puntarenas","Puerto Pilon","1","2","2.0000","2","2","1","1.0000","1","1"
"Central America & Caribbean","Costa Rica","Puntarenas","San Vito","1","0","0.0000","0","0","1","1.0000","1","1"
"Central America & Caribbean","Costa Rica","San Jose","San Jose","27","5","0.1852","4","0","19","0.7037","5","0"
"Central America & Caribbean","Cuba","Havana","Havana","12","0","0.0000","0","0","5","0.4167","3","0"
"Central America & Caribbean","Cuba","Matanzas","Varadero","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Cuba","Unknown","Unknown","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Cuba","Villa Clara","Caibarien","1","1","1.0000","1","1","3","3.0000","3","3"
"Central America & Caribbean","Dominica","Saint George","Roseau","1","3","3.0000","3","3","10","10.0000","10","10"
"Central America & Caribbean","Dominica","Saint John","Portsmouth","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","Baoruco","Villa Jaragua","1","3","3.0000","3","3","10","10.0000","10","10"
"Central America & Caribbean","Dominican Republic","Barahona","Barahona","2","2","1.0000","1","1","3","1.5000","3","0"
"Central America & Caribbean","Dominican Republic","Distrito Nacional","Santo Domingo","1","0","0.0000","0","0","35","35.0000","35","35"
"Central America & Caribbean","Dominican Republic","Duarte","Hostos","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","Duarte","San Francisco de Macoris","1","0","0.0000","0","0","6","6.0000","6","6"
"Central America & Caribbean","Dominican Republic","Espaillat","Moca","1","1","1.0000","1","1","2","2.0000","2","2"
"Central America & Caribbean","Dominican Republic","Hermanas Mirabal","Salcedo","3","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","La Vega","Jarabacoa","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","La Vega","La Vega","1","2","2.0000","2","2","17","17.0000","17","17"
"Central America & Caribbean","Dominican Republic","Maria Trinidad Sanchez","Nagua","3","0","0.0000","0","0","1","0.3333","1","0"
"Central America & Caribbean","Dominican Republic","National","Santo Domingo","22","17","0.7727","5","0","9","0.4091","3","0"
"Central America & Caribbean","Dominican Republic","San Cristobal","Haina","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","San Cristobal","San Cristobal","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","San Juan","San Juan de la Maguana","1","1","1.0000","1","1","1","1.0000","1","1"
"Central America & Caribbean","Dominican Republic","San Pedro de Macoris","San Pedro de Macoris","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","Santiago","Bisono","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","Santiago","Santiago de los Caballeros","3","0","0.0000","0","0","4","1.3333","4","0"
"Central America & Caribbean","Dominican Republic","Santo Domingo","Los Alcarrizos","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Dominican Republic","Valverde","Esperanza","1","0","0.0000","0","0","4","4.0000","4","4"
"Central America & Caribbean","El Salvador","Ahuachapan","Ahuachapan","14","0","0.0000","0","0","19","1.3571","10","0"
"Central America & Caribbean","El Salvador","Ahuachapan","Atiquizaya","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Ahuachapan","El Golandrino","1","0","0.0000","0","0","3","3.0000","3","3"
"Central America & Caribbean","El Salvador","Ahuachapan","El Refugio","3","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Ahuachapan","El Zapote","3","18","6.0000","15","0","15","5.0000","10","0"
"Central America & Caribbean","El Salvador","Ahuachapan","Zapote","2","23","11.5000","13","10","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cabanas","Caserio El Dique","6","59","9.8333","25","0","42","7.0000","17","0"
"Central America & Caribbean","El Salvador","Cabanas","Cinquera","12","247","20.5833","120","0","17","1.4167","10","0"
"Central America & Caribbean","El Salvador","Cabanas","Copalchan","1","4","4.0000","4","4","1","1.0000","1","1"
